country,product_id
Greece,22803
Greece,35912B
Greece,23161
Hong Kong,22452
Hong Kong,M
Hong Kong,22139
Hong Kong,20676
Hong Kong,20677
Hong Kong,20675
Hong Kong,84997D
Hong Kong,21843
Hong Kong,20682
Hong Kong,20749
Hong Kong,84997C
Iceland,22375
Iceland,84558A
Iceland,21731
Iceland,22727
Iceland,20719
Iceland,22371
Iceland,22725
Iceland,22423
Iceland,22196
Iceland,22728
Iceland,47559B
Israel,23240
Israel,20719
Israel,22629
Israel,23236
Israel,22630
Israel,22423
Israel,22270
Israel,20724
Israel,22203
Israel,22759
Israel,22201
Italy,POST
Italy,22720
Italy,22960
Italy,22847
Italy,23243
Italy,22845
Italy,22139
Italy,22844
Italy,22898
Italy,22692
Italy,22423
Japan,21218
Japan,22661
Japan,23084
Japan,22662
Japan,22489
Japan,21210
Japan,22088
Japan,84988
Japan,23238
Japan,22637
Japan,21216
Lebanon,22168
Lebanon,22423
Lebanon,82551
Lebanon,22720
Lebanon,82600
Lebanon,35810B
Lebanon,21272
Lebanon,84929
Lebanon,22606
Lebanon,21784
Lebanon,22723
Lithuania,22750
Lithuania,20967
Lithuania,21915
Lithuania,21429
Lithuania,22569
Lithuania,22751
Lithuania,20682
Lithuania,22553
Lithuania,21914
Lithuania,22568
Lithuania,22273
Malta,22768
Malta,72741
Malta,72807C
Malta,POST
Malta,22065
Malta,22307
Malta,85034C
Malta,72807A
Malta,22067
Malta,72807B
Malta,22796
Netherlands,POST
Netherlands,22629
Netherlands,22326
Netherlands,22630
Netherlands,22029
Netherlands,22328
Netherlands,20719
Netherlands,21559
Netherlands,21731
Netherlands,85099B
Netherlands,21212
Norway,POST
Norway,22720
Norway,22423
Norway,22635
Norway,23243
Norway,84050
Norway,21481
Norway,22624
Norway,21914
Norway,23198
Norway,22634
Poland,22666
Poland,16016
Poland,22722
Poland,21232
Poland,POST
Poland,37450
Poland,22061
Poland,37448
Poland,22624
Poland,22979
Poland,22845
Portugal,POST
Portugal,20725
Portugal,M
Portugal,22139
Portugal,22138
Portugal,20728
Portugal,22411
Portugal,23209
Portugal,22383
Portugal,22355
Portugal,22557
RSA,21936
RSA,84375
RSA,21243
RSA,22138
RSA,20676
RSA,22411
RSA,20725
RSA,M
RSA,22585
RSA,22508
RSA,48138
Saudi Arabia,22361
Saudi Arabia,22362
Saudi Arabia,22555
Saudi Arabia,22556
Saudi Arabia,20781
Saudi Arabia,22363
Saudi Arabia,22969
Saudi Arabia,22553
Saudi Arabia,22915
Singapore,M
Singapore,22343
Singapore,22197
Singapore,21181
Singapore,48138
Singapore,85150
Singapore,20685
Singapore,21936
Singapore,22413
Singapore,84997A
Singapore,21621
Spain,POST
Spain,22423
Spain,22960
Spain,22077
Spain,22553
Spain,84879
Spain,22326
Spain,22629
Spain,22197
Spain,22699
Spain,21212
Sweden,POST
Sweden,22720
Sweden,22492
Sweden,22779
Sweden,84077
Sweden,22378
Sweden,21731
Sweden,22961
Sweden,22467
Sweden,23236
Sweden,22328
Switzerland,POST
Switzerland,22551
Switzerland,22554
Switzerland,22326
Switzerland,23298
Switzerland,22423
Switzerland,23256
Switzerland,20750
Switzerland,22555
Switzerland,22556
Switzerland,22029
USA,22027
USA,22712
USA,21124
USA,22734
USA,84987
USA,47590B
USA,22989
USA,21122
USA,22720
USA,23293
USA,21123
United Arab Emirates,22037
United Arab Emirates,23320
United Arab Emirates,22117
United Arab Emirates,84050
United Arab Emirates,23318
United Arab Emirates,85150
United Arab Emirates,23231
United Arab Emirates,21175
United Arab Emirates,23009
United Arab Emirates,82551
United Arab Emirates,82552
United Kingdom,85123A
United Kingdom,85099B
United Kingdom,22423
United Kingdom,47566
United Kingdom,20725
United Kingdom,84879
United Kingdom,22197
United Kingdom,22720
United Kingdom,20727
United Kingdom,22383
United Kingdom,22457
Unspecified,22150
Unspecified,22437
Unspecified,23309
Unspecified,21888
Unspecified,23254
Unspecified,23108
Unspecified,20983
Unspecified,84879
Unspecified,21591
Unspecified,85227
Unspecified,22620
